ds,y
2000-01-03,290.25
2000-01-04,281.5
2000-01-05,280.45
2000-01-06,279.4
2000-01-07,282.1
2000-01-10,281.6
2000-01-11,282.25
2000-01-12,282.25
2000-01-13,282.1
2000-01-14,283.3
2000-01-17,285.35
2000-01-18,285.8
2000-01-19,287.65
2000-01-20,288.1
2000-01-21,287.75
2000-01-24,287.2
2000-01-25,288.0
2000-01-26,285.9
2000-01-27,285.55
2000-01-28,286.75
2000-01-31,283.3
2000-02-01,283.0
2000-02-02,285.6
2000-02-03,285.05
2000-02-04,293.65
2000-02-07,312.7
2000-02-08,296.25
2000-02-09,308.6
2000-02-10,309.0
2000-02-11,311.5
2000-02-14,308.35
2000-02-15,304.25
2000-02-16,302.5
2000-02-17,304.75
2000-02-18,303.55
2000-02-21,305.25
2000-02-22,302.25
2000-02-23,302.0
2000-02-24,298.75
2000-02-25,294.0
2000-02-28,292.5
2000-02-29,293.65
2000-03-01,292.9
2000-03-02,289.9
2000-03-03,288.5
2000-03-06,288.8
2000-03-07,289.75
2000-03-08,291.2
2000-03-09,290.5
2000-03-10,290.25
2000-03-13,290.65
2000-03-14,288.75
2000-03-15,289.15
2000-03-16,287.35
2000-03-17,283.9
2000-03-20,285.75
2000-03-21,285.15
2000-03-22,287.8
2000-03-23,284.75
2000-03-24,284.85
2000-03-27,284.15
2000-03-28,280.65
2000-03-29,279.75
2000-03-30,275.75
2000-03-31,276.75
2000-04-03,277.5
2000-04-04,276.85
2000-04-05,281.3
2000-04-06,279.35
2000-04-07,280.15
2000-04-10,282.25
2000-04-11,282.5
2000-04-12,280.4
2000-04-13,281.4
2000-04-14,282.0
2000-04-17,281.75
2000-04-18,281.1
2000-04-19,281.35
2000-04-20,279.85
2000-04-21,279.85
2000-04-24,279.85
2000-04-25,279.5
2000-04-26,276.2
2000-04-27,276.0
2000-04-28,275.05
2000-05-01,275.05
2000-05-02,275.45
2000-05-03,275.6
2000-05-04,280.0
2000-05-05,280.75
2000-05-08,277.9
2000-05-09,276.3
2000-05-10,277.6
2000-05-11,276.75
2000-05-12,276.65
2000-05-15,275.05
2000-05-16,276.0
2000-05-17,273.1
2000-05-18,272.8
2000-05-19,273.15
2000-05-22,274.0
2000-05-23,274.05
2000-05-24,273.7
2000-05-25,273.35
2000-05-26,271.3
2000-05-29,271.3
2000-05-30,273.15
2000-05-31,272.25
2000-06-01,272.5
2000-06-02,281.6
2000-06-05,283.25
2000-06-06,288.4
2000-06-07,284.1
2000-06-08,285.75
2000-06-09,284.4
2000-06-12,284.6
2000-06-13,291.5
2000-06-14,287.15
2000-06-15,287.4
2000-06-16,290.1
2000-06-19,285.9
2000-06-20,286.2
2000-06-21,286.05
2000-06-22,287.65
2000-06-23,285.8
2000-06-26,284.05
